mol_id,pl,solvent,canonical_smiles
tadf_877,2.604710084033614,Cc1ccccc1,c1ccc2c(c1)Sc1ccccc1N2c1cnc2nc3c(nc2c1)-c1cccc2cccc-3c12
tadf_879,2.736958057395144,Cc1ccccc1,CC(C)(C)c1ccc2c(c1)c1cc(C(C)(C)C)ccc1n2-c1ccc(C(=O)c2ccc(-n3c4ccc(C(C)(C)C)cc4c4cc(C(C)(C)C)ccc43)nc2)cc1
tadf_880,2.499681451612903,Cc1ccccc1,c1ccc2c(c1)Oc1ccccc1N2c1ccc(N2c3ccccc3Oc3ccccc32)c2ccccc12
tadf_881,2.313138059701493,ClCCl,c1ccc2c(c1)Oc1ccccc1N2c1ccc(N2c3ccccc3Oc3ccccc32)c2ccccc12
tadf_882,3.604191860465117,Cc1ccccc1,O=S1(=O)c2ccccc2N(c2ccc(-n3c4ccccc4c4ccccc43)cc2)c2ccccc21
tadf_883,2.856778801843318,Cc1ccccc1,O=C(c1ccc(-n2c3ccccc3c3cc(-c4ccccc4)ccc32)cc1)c1ccc(-n2c3ccccc3c3cc(-c4ccccc4)ccc32)cc1
tadf_884,2.863376443418014,Cc1ccccc1,O=C(c1ccc(-n2c3ccccc3c3cc(-c4ccc(-n5c6ccccc6c6ccccc65)cc4)ccc32)cc1)c1ccc(-n2c3ccccc3c3cc(-c4ccc(-n5c6ccccc6c6ccccc65)cc4)ccc32)cc1
tadf_885,2.525136456211813,Cc1ccccc1,c1ccc(-c2nc(-c3ccccc3)nc(-c3ccccc3-n3c4ccccc4c4c5c(ccc43)-c3ccccc3C53c4ccccc4-c4ccccc43)n2)cc1
tadf_886,2.62123044397463,Cc1ccccc1,c1ccc(-c2nc(-c3ccccc3)nc(-c3ccccc3-n3c4ccccc4c4cc5c(cc43)C3(c4ccccc4-c4ccccc43)c3ccccc3-5)n2)cc1
tadf_887,2.46489463220676,Cc1ccccc1,N#Cc1c(-c2ccc(N(c3ccccc3)c3ccccc3)cc2)cc(-c2ccc(N(c3ccccc3)c3ccccc3)cc2)c(C#N)c1-c1c(C#N)c(-c2ccc(N(c3ccccc3)c3ccccc3)cc2)cc(-c2ccc(N(c3ccccc3)c3ccccc3)cc2)c1C#N
tadf_888,2.348185606060606,Cc1ccccc1,N#Cc1c(-c2ccc(N(c3ccccc3)c3ccccc3)cc2)cc(-c2cc(-n3c4ccccc4c4ccccc43)cc(-n3c4ccccc4c4ccccc43)c2)c(C#N)c1-c1c(C#N)c(-c2ccc(N(c3ccccc3)c3ccccc3)cc2)cc(-c2cc(-n3c4ccccc4c4ccccc43)cc(-n3c4ccccc4c4ccccc43)c2)c1C#N
tadf_889,2.416846003898636,Cc1ccccc1,N#Cc1c(-c2cc(-n3c4ccccc4c4ccccc43)cc(-n3c4ccccc4c4ccccc43)c2)cc(-c2cc(-n3c4ccccc4c4ccccc43)cc(-n3c4ccccc4c4ccccc43)c2)c(C#N)c1-c1c(C#N)c(-c2cc(-n3c4ccccc4c4ccccc43)cc(-n3c4ccccc4c4ccccc43)c2)cc(-c2cc(-n3c4ccccc4c4ccccc43)cc(-n3c4ccccc4c4ccccc43)c2)c1C#N
tadf_890,1.961775316455696,Cc1ccccc1,O=P(c1ccccc1)(c1ccccc1)c1ccc(-c2ccc(N(c3ccccc3)c3ccccc3)cc2)c2nc3c(nc12)c1sccc1c1ccsc13
tadf_891,2.83716704805492,Cc1ccccc1,c1ccc(N(c2ccccc2)c2ccc3c(c2)c2cc(N(c4ccccc4)c4ccccc4)ccc2n3-c2cc(-n3c4ccc(N(c5ccccc5)c5ccccc5)cc4c4cc(N(c5ccccc5)c5ccccc5)ccc43)ncn2)cc1
tadf_892,2.36160380952381,Cc1ccccc1,c1ccc(N(c2ccccc2)c2ccc3c(c2)c2cc(N(c4ccccc4)c4ccccc4)ccc2n3-c2ccc(-c3cc(-c4ccc(-n5c6ccc(N(c7ccccc7)c7ccccc7)cc6c6cc(N(c7ccccc7)c7ccccc7)ccc65)cc4)ncn3)cc2)cc1
