_id|doi|solvent|standard_value|corrected|solvent_smiles|eV|canonical_smiles
551|https://doi.org/10.1039/C6TC00385K|chloroform|378.0|1|ClC(Cl)Cl|3.280005291005291|c1ccc2c(c1)c1ccccc1n2-c1ccc2sc3ccc(-n4c5ccccc5c5cccnc54)cc3c2c1
552|https://doi.org/10.1039/C6TC00385K|chloroform|380.0|0|ClC(Cl)Cl|3.262742105263158|c1ccc2c(c1)c1cccnc1n2-c1ccc2sc3ccc(-n4c5ccccc5c5cccnc54)cc3c2c1
555|https://doi.org/10.1039/D2SC01543A|toluene|450.0|0|Cc1ccccc1|2.755204444444445|Cc1ccc2c(c1)c1c3c4c(c5c1n2-c1ccc(C(C)(C)C)cc1C51c2ccccc2-c2ccccc21)c1cc(C)ccc1n4-c1ccc(C(C)(C)C)cc1C31c2ccccc2-c2ccccc21
556|https://doi.org/10.1039/D1MA00181G|toluene|468.0|0|Cc1ccccc1|2.649235042735043|O=C1c2ccc(-c3cccc4c3[nH]c3ccccc34)cc2C(=O)N1C12CC3CC(CC(C3)C1)C2
557|https://doi.org/10.1039/D1MA00181G|toluene|486.0|0|Cc1ccccc1|2.551115226337449|CC(C)(C)c1ccc2[nH]c3c(-c4ccc5c(c4)C(=O)N(C46CC7CC(CC(C7)C4)C6)C5=O)cc(C(C)(C)C)cc3c2c1
558|https://doi.org/10.1039/D1MA00181G|toluene|477.0|0|Cc1ccccc1|2.599249475890986|O=C1c2ccc(-c3cc(-c4cccc5c4C(c4ccccc4)c4ccccc4-5)cc4c3[nH]c3ccc(-c5cccc6c5C(c5ccccc5)c5ccccc5-6)cc34)cc2C(=O)N1C12CC3CC(CC(C3)C1)C2
559|https://doi.org/10.1039/C9TC04418C|toluene|559.0|0|Cc1ccccc1|2.217964221824687|N#Cc1nc2c3ccc(-n4c5ccc(-c6ccccc6)cc5c5cc(-c6ccccc6)ccc54)cc3c3cc(-n4c5ccc(-c6ccccc6)cc5c5cc(-c6ccccc6)ccc54)ccc3c2nc1C#N
561|https://doi.org/10.1039/C9TC04418C|toluene|619.0|1|Cc1ccccc1|2.002975767366721|N#Cc1nc2c3ccc(-n4c5ccc(-c6ccc(N(c7ccccc7)c7ccccc7)cc6)cc5c5cc(-c6ccc(N(c7ccccc7)c7ccccc7)cc6)ccc54)cc3c3cc(-n4c5ccc(-c6ccc(N(c7ccccc7)c7ccccc7)cc6)cc5c5cc(-c6ccc(N(c7ccccc7)c7ccccc7)cc6)ccc54)ccc3c2nc1C#N
563|https://doi.org/10.1039/D0TC01811B|Toluene|420.0|0|Cc1ccccc1|2.952004761904762|N#Cc1ccc(-c2c3ccccc3c(-c3cccc(-c4nc5c6ccccc6c6ccccc6c5o4)c3)c3ccccc23)cc1
567|https://doi.org/10.1039/D0TC01964J|DCM|437.0|0|ClCCl|2.83716704805492|N#Cc1ccc(-c2c3ccccc3c(-c3ccc(-c4ccc(-n5c6ccccc6c6ccccc65)cc4)cc3)c3ccccc23)cc1
568|https://doi.org/10.1039/D0TC01964J|DCM|430.0|0|ClCCl|2.883353488372093|N#Cc1ccc(-c2c3ccccc3c(-c3cccc(-n4c5ccccc5c5ccccc54)c3)c3ccccc23)cc1
569|https://doi.org/10.1039/D0TC01964J|DCM|428.0|0|ClCCl|2.896827102803738|N#Cc1ccc(-c2c3ccccc3c(-c3cc(-n4c5ccccc5c5ccccc54)cc(-n4c5ccccc5c5ccccc54)c3)c3ccccc23)cc1
574|https://doi.org/10.1039/C7TC00457E|toluene|494.0|1|Cc1ccccc1|2.509801619433198|CC(C)(C)c1ccc2c(c1)c1cc(C(C)(C)C)ccc1n2-c1cc(C(=O)c2ccccn2)cc(-n2c3ccc(C(C)(C)C)cc3c3cc(C(C)(C)C)ccc32)c1
